,ObservationDate,country,Confirmed,Deaths,Recovered,Code,latitude,longitude,New Confirmed,New Recovered,New Death
1062,02/28/2020, azerbaijan,1,0,0,,,,0,0,0
2054,03/10/2020,"('st. martin',)",2,0,0,,,,2,0,0
869,02/24/2020,afghanistan,1,0,0,AF,33.93911,67.709953,1,0,0
910,02/25/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
954,02/26/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1006,02/27/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1063,02/28/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1125,02/29/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1190,03/01/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1275,03/02/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1352,03/03/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1436,03/04/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1526,03/05/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1622,03/06/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1724,03/07/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1830,03/08/2020,afghanistan,4,0,0,AF,33.93911,67.709953,3,0,0
1941,03/09/2020,afghanistan,4,0,0,AF,33.93911,67.709953,0,0,0
2053,03/10/2020,afghanistan,5,0,0,AF,33.93911,67.709953,1,0,0
2172,03/11/2020,afghanistan,7,0,0,AF,33.93911,67.709953,2,0,0
2289,03/12/2020,afghanistan,7,0,0,AF,33.93911,67.709953,0,0,0
2415,03/13/2020,afghanistan,7,0,0,AF,33.93911,67.709953,0,0,0
2543,03/14/2020,afghanistan,11,0,0,AF,33.93911,67.709953,4,0,0
2691,03/15/2020,afghanistan,16,0,0,AF,33.93911,67.709953,5,0,0
2845,03/16/2020,afghanistan,21,0,1,AF,33.93911,67.709953,5,1,0
3005,03/17/2020,afghanistan,22,0,1,AF,33.93911,67.709953,1,0,0
3169,03/18/2020,afghanistan,22,0,1,AF,33.93911,67.709953,0,0,0
3337,03/19/2020,afghanistan,22,0,1,AF,33.93911,67.709953,0,0,0
3510,03/20/2020,afghanistan,24,0,1,AF,33.93911,67.709953,2,0,0
3688,03/21/2020,afghanistan,24,0,1,AF,33.93911,67.709953,0,0,0
1940,03/09/2020,albania,2,0,0,AL,41.153332,20.168331,2,0,0
2052,03/10/2020,albania,10,0,0,AL,41.153332,20.168331,8,0,0
2171,03/11/2020,albania,12,1,0,AL,41.153332,20.168331,2,0,1
2288,03/12/2020,albania,23,1,0,AL,41.153332,20.168331,11,0,0
2414,03/13/2020,albania,33,1,0,AL,41.153332,20.168331,10,0,0
2544,03/14/2020,albania,38,1,0,AL,41.153332,20.168331,5,0,0
2692,03/15/2020,albania,42,1,0,AL,41.153332,20.168331,4,0,0
2846,03/16/2020,albania,51,1,0,AL,41.153332,20.168331,9,0,0
3006,03/17/2020,albania,55,1,0,AL,41.153332,20.168331,4,0,0
3170,03/18/2020,albania,59,2,0,AL,41.153332,20.168331,4,0,1
3338,03/19/2020,albania,64,2,0,AL,41.153332,20.168331,5,0,0
3511,03/20/2020,albania,70,2,0,AL,41.153332,20.168331,6,0,0
3689,03/21/2020,albania,76,2,2,AL,41.153332,20.168331,6,2,0
911,02/25/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,1,0,0
955,02/26/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1007,02/27/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1064,02/28/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1126,02/29/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1191,03/01/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1274,03/02/2020,algeria,3,0,0,DZ,28.033886,1.6596259999999998,2,0,0
1351,03/03/2020,algeria,5,0,0,DZ,28.033886,1.6596259999999998,2,0,0
1435,03/04/2020,algeria,12,0,0,DZ,28.033886,1.6596259999999998,7,0,0
1525,03/05/2020,algeria,12,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1621,03/06/2020,algeria,17,0,0,DZ,28.033886,1.6596259999999998,5,0,0
1723,03/07/2020,algeria,17,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1829,03/08/2020,algeria,19,0,0,DZ,28.033886,1.6596259999999998,2,0,0
1939,03/09/2020,algeria,20,0,0,DZ,28.033886,1.6596259999999998,1,0,0
2051,03/10/2020,algeria,20,0,0,DZ,28.033886,1.6596259999999998,0,0,0
2170,03/11/2020,algeria,20,0,0,DZ,28.033886,1.6596259999999998,0,0,0
2287,03/12/2020,algeria,24,1,8,DZ,28.033886,1.6596259999999998,4,8,1
2413,03/13/2020,algeria,26,2,8,DZ,28.033886,1.6596259999999998,2,0,1
2545,03/14/2020,algeria,37,3,12,DZ,28.033886,1.6596259999999998,11,4,1
2693,03/15/2020,algeria,48,4,12,DZ,28.033886,1.6596259999999998,11,0,1
2847,03/16/2020,algeria,54,4,12,DZ,28.033886,1.6596259999999998,6,0,0
3007,03/17/2020,algeria,60,4,12,DZ,28.033886,1.6596259999999998,6,0,0
3171,03/18/2020,algeria,74,7,12,DZ,28.033886,1.6596259999999998,14,0,3
3339,03/19/2020,algeria,87,9,32,DZ,28.033886,1.6596259999999998,13,20,2
3512,03/20/2020,algeria,90,11,32,DZ,28.033886,1.6596259999999998,3,0,2
3690,03/21/2020,algeria,139,15,32,DZ,28.033886,1.6596259999999998,49,0,4
1273,03/02/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,1,0,0
1350,03/03/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
